code,long,lat,flood_depth,log_medinc,small_size,large_size,low_status_customers,high_status_customers,owntype_sole_proprietor,owntype_national_chain,y1,y2,y3,street
130,-90.0672,29.95138,0,10.4750883750166,0,1,0,0,0,0,1,1,1,1
201,-90.0673,29.95103,0,10.4750883750166,0,0,0,0,1,0,1,1,1,1
212,-90.0673,29.95085,0,10.4750883750166,0,0,1,0,1,0,1,1,1,1
217,-90.0674,29.95057,0,10.4750883750166,1,0,0,0,1,0,0,1,1,1
321,-90.0675,29.95025,0,10.4750883750166,0,0,0,0,1,0,1,1,1,1
322,-90.0676,29.95011,0,10.4750883750166,0,0,0,1,1,0,1,1,1,1
323,-90.0676,29.94999,0,10.4750883750166,0,1,0,0,0,0,1,1,1,1
330,-90.0677,29.94966,0,10.4750883750166,0,1,0,1,1,0,1,1,1,1
400,-90.067805,29.949345,0,10.4750883750166,1,0,0,0,1,0,1,1,1,1
401,-90.067795,29.949355,0,10.4750883750166,0,0,0,1,1,0,0,1,1,1
406,-90.0678,29.94934,0,10.4484826920722,1,0,0,0,1,0,1,1,1,1
643,-90.0685,29.9471,0,10.4211497535611,0,1,0,1,1,0,1,1,1,1
717,-90.0687,29.94634,0,10.3930486809974,0,0,0,1,1,0,1,1,1,1
727,-90.0687,29.94621,0,10.3641350493578,0,0,0,0,1,0,1,1,1,1
945,-90.0696,29.94323,0,10.3343604645788,0,1,0,0,0,1,0,1,1,1
1068,-90.0702,29.94139,0,10.3036720762004,1,0,0,0,1,0,1,1,1,1
1145,-90.0706,29.94008,0,10.272012012832,0,0,0,0,1,0,1,1,1,1
1148,-90.0707,29.93983,0,10.2393167252932,0,0,0,0,1,0,1,1,1,1
1152,-90.0707,29.93957,0,10.2055162186948,0,0,0,0,1,0,1,1,1,1
1201,-90.0709,29.93919,0,10.1705331501375,1,0,1,0,1,0,1,1,1,1
1204,-90.0709,29.93894,0,10.1705331501375,1,0,0,0,1,0,0,1,1,1
1245,-90.071,29.93874,0,10.1705331501375,1,0,0,1,1,0,1,1,1,1
1301,-90.0712,29.93814,0,10.1705331501375,0,0,0,0,1,0,1,1,1,1
1321,-90.0713,29.93771,0,10.1705331501375,1,0,1,0,1,0,0,1,1,1
1418,-90.0719,29.93573,0,10.1705331501375,0,0,0,0,1,0,1,1,1,1
1500,-90.072305,29.934345,0,10.1473901363903,0,0,0,0,1,0,0,0,1,1
1501,-90.072295,29.934355,0,10.1236988088725,0,1,0,1,1,0,1,1,1,1
1518,-90.0725,29.93396,0,10.0994325540204,0,0,0,1,1,0,1,1,1,1
1578,-90.0728,29.93301,0,10.074562772357,1,0,1,0,1,0,0,1,1,1
1580,-90.0728,29.93276,0,10.0490586758553,1,0,1,0,1,0,0,0,0,1
1600,-90.072905,29.932415,0,10.0228870587775,1,0,1,0,1,0,0,1,1,1
1601,-90.072895,29.932425,0,9.99601203771172,1,0,0,0,1,0,1,1,1,1
1800,-90.073,29.9322,0,9.96839475570213,1,0,0,1,1,0,1,1,1,1
1809,-90.0732,29.93209,0,9.93999304434844,0,0,0,0,1,0,1,1,1,1
1810,-90.0733,29.93199,0,9.91076103650263,1,0,0,1,1,0,1,1,1,1
1821,-90.0735,29.93186,0,9.91076103650263,1,0,0,0,1,0,0,1,1,1
1900,-90.0738,29.93163,0,9.91076103650263,1,0,1,0,1,0,1,1,1,1
1904,-90.0738,29.93158,0,9.91076103650263,1,0,0,0,1,0,0,1,1,1
1910,-90.073905,29.931545,0,9.91076103650263,0,0,0,1,1,0,0,0,1,1
1911,-90.073895,29.931555,0,9.91076103650263,0,0,0,0,1,0,1,1,1,1
1912,-90.0739,29.93153,0,9.91076103650263,1,0,0,0,1,0,1,1,1,1
1914,-90.074,29.93148,0,9.91076103650263,1,0,0,1,1,0,0,1,1,1
1916,-90.074,29.93144,0,9.91076103650263,1,0,1,0,1,0,1,1,1,1
1920,-90.0741,29.93139,0,9.91076103650263,1,0,0,0,1,0,1,1,1,1
1922,-90.0742,29.93131,0,9.91076103650263,1,0,0,0,1,0,1,1,1,1
1936,-90.0743,29.93122,0,9.91076103650263,0,0,0,0,1,0,0,1,1,1
1938,-90.0744,29.93114,0,9.91076103650263,1,0,0,0,1,0,0,1,1,1
2000,-90.0746,29.931,0,9.91076103650263,1,0,1,0,1,0,0,1,1,1
2003,-90.0747,29.93096,0,9.91076103650263,1,0,0,0,1,0,1,1,1,1
2010,-90.074805,29.930895,0,9.91076103650263,1,0,0,1,1,0,1,1,1,1
2011,-90.074795,29.930905,0,9.91076103650263,1,0,0,0,1,0,1,1,1,1
2014,-90.074805,29.930865,0,9.91076103650263,0,0,0,0,1,0,0,1,1,1
2015,-90.074795,29.930875,0,9.91076103650263,0,0,0,1,1,0,1,1,1,1
2018,-90.0748,29.93084,0,9.91076103650263,0,0,1,0,1,0,1,1,1,1
2022,-90.0749,29.93081,0,9.91076103650263,1,0,0,0,1,0,1,1,1,1
2025,-90.0749,29.93079,0,9.91076103650263,1,0,0,0,1,0,1,1,1,1
2026,-90.0749,29.93078,0,9.91076103650263,0,0,0,1,1,0,1,1,1,1
2028,-90.0749,29.93076,0,9.91076103650263,0,0,0,0,1,0,1,1,1,1
2030,-90.075,29.93072,0,9.91076103650263,1,0,0,0,1,0,1,1,1,1
2033,-90.075,29.93068,0,9.91076103650263,1,0,0,1,1,0,1,1,1,1
2035,-90.0751,29.93063,0,9.91076103650263,1,0,0,1,1,0,1,1,1,1
2038,-90.0751,29.93058,0,9.91076103650263,1,0,0,0,1,0,1,1,1,1
2044,-90.0752,29.93053,0,9.91076103650263,1,0,0,1,1,0,0,1,1,1
2045,-90.0753,29.93044,0,9.91076103650263,1,0,0,1,1,0,1,1,1,1
2048,-90.0754,29.93036,0,9.91076103650263,1,0,0,1,1,0,1,1,1,1
2050,-90.0755,29.93027,0,9.91076103650263,1,0,0,1,1,0,1,1,1,1
